job,years,education,salary,company,scale,job_url
Python开发工程师,3-5年,本科,17500,北京创智信科科技股份有限公司,20-99人,http://jobs.zhaopin.com/140513769250392.htm
Python高级开发工程师,3-5年,本科,17500,北京棣南新宇科技有限公司,20-99人,http://jobs.zhaopin.com/120570227250422.htm
Python高级开发工程师,3-5年,本科,17500,北京棣南新宇科技有限公司,20-99人,http://jobs.zhaopin.com/120570227250426.htm
Python爬虫工程师,不限,不限,25000,永盛志远科技集团有限公司,100-499人,http://jobs.zhaopin.com/336172833250364.htm
Python/Django web开发工程师,不限,不限,25000,永盛志远科技集团有限公司,100-499人,http://jobs.zhaopin.com/336172833250365.htm
Python开发工程师,1-3年,本科,17500,立信会计师事务所(特殊普通合伙)北京分所,500-999人,http://jobs.zhaopin.com/464802915250588.htm
Python开发工程师,3-5年,不限,12500,北京梆梆安全科技有限公司,100-499人,http://jobs.zhaopin.com/258426519250636.htm
python开发工程师,3-5年,本科,17500,北京中创信测科技股份有限公司,100-499人,http://jobs.zhaopin.com/000140955251549.htm
Python开发工程师,3-5年,本科,15000,北京中创信测科技股份有限公司,100-499人,http://jobs.zhaopin.com/000140955251524.htm
高级Python工程师,5-10年,本科,25000,慕华(北京)网络技术有限公司,100-499人,http://jobs.zhaopin.com/200376531250058.htm
Python工程师-实习生,无经验,大专,3000,北京上格云技术有限公司,20-99人,http://jobs.zhaopin.com/405232187250047.htm
python后端开发工程师,5-10年,本科,20000,北京知呱呱科技服务有限公司,100-499人,http://jobs.zhaopin.com/CC563172135J00044272610.htm
Python（懂C语言）开发工程师,不限,本科,9000,北京容天汇海科技有限公司,20-99人,http://jobs.zhaopin.com/547535726250012.htm
Python工程师,3-5年,本科,22500,北京智慧星光信息技术有限公司,500-999人,http://jobs.zhaopin.com/467352913251772.htm
Python研发工程师,不限,本科,22500,创盛视联数码科技(北京)有限公司,100-499人,http://jobs.zhaopin.com/230215017250088.htm
linux运维工程师（熟练python）,3-5年,大专,23000,北京云纵信息技术有限公司,1000-9999人,http://jobs.zhaopin.com/311289936253904.htm
Python工程师（中级）,3-5年,本科,20000,北京明特量化信息技术有限公司,500-999人,http://jobs.zhaopin.com/325098280250219.htm
后端工程师/Python工程师,不限,中专,5000,广州胖虾网络科技有限公司,100-499人,http://jobs.zhaopin.com/514689632251244.htm
python开发工程师 [北京],3-5年,大专,17500,深圳市源极光科技有限公司,20-99人,http://jobs.zhaopin.com/562114535250039.htm
python高级软件工程师-爬虫方向,3-5年,本科,17500,北京商状元科技有限公司,20-99人,http://jobs.zhaopin.com/405728887250014.htm
Python开发工程师待遇从优,不限,中专,5000,广州百单网互联网科技有限公司,100-499人,http://jobs.zhaopin.com/444406089252924.htm
Python工程师【坐标郑州】,不限,大专,12500,河南奇酷信息技术有限公司,100-499人,http://jobs.zhaopin.com/319483532250617.htm
Python开发工程师待遇从优,不限,中专,5000,北京升凯网络科技有限公司,100-499人,http://jobs.zhaopin.com/540062934250726.htm
Python开发工程师待遇从优,不限,中专,5000,北京玖易创新网络科技有限公司,100-499人,http://jobs.zhaopin.com/540049933250809.htm
Python中级研发工程师,3-5年,本科,18500,中铁信息工程集团有限公司,100-499人,http://jobs.zhaopin.com/149949410251325.htm
Python开发工程师,1-3年,本科,11500,普天信息技术有限公司,500-999人,http://jobs.zhaopin.com/000645187252077.htm
Python开发工程师,1-3年,大专,12500,开网科技(北京)有限公司,500-999人,http://jobs.zhaopin.com/596626722253316.htm
中级Python WEB工程师（SAAS方向）,3-5年,本科,15000,易思互动(北京)科技有限公司,100-499人,http://jobs.zhaopin.com/320449689250047.htm
python全栈工程师,3-5年,本科,20000,泛测(北京)环境科技有限公司,20-99人,http://jobs.zhaopin.com/338692835250038.htm
中级python工程师,3-5年,本科,25000,北京超萌国际文化有限公司,20-99人,http://jobs.zhaopin.com/CC261124189J00040650812.htm
Python工程师,1-3年,本科,17500,零氪信息技术(北京)有限公司,500-999人,http://jobs.zhaopin.com/273511830250845.htm
高级python工程师（北京）,1-3年,不限,32500,深圳码隆科技有限公司,100-499人,http://jobs.zhaopin.com/491469330251429.htm
python工程师-大数据方向,3-5年,大专,22500,北京爱尖子教育科技有限责任公司,1000-9999人,http://jobs.zhaopin.com/434383686250128.htm
Python开发工程师（北京）,1-3年,大专,15000,深圳市前海谷雨网络科技有限公司,20-99人,http://jobs.zhaopin.com/544024686250021.htm
高级python开发工程师,3-5年,本科,22500,中创三优(北京)科技有限公司,100-499人,http://jobs.zhaopin.com/293900482250100.htm
Python开发工程师,不限,不限,22500,北京汉迪移动互联网科技股份有限公司,100-499人,http://jobs.zhaopin.com/414704837250057.htm
高级Python开发工程师,3-5年,本科,25000,陪我欢乐(北京)科技有限公司,20-99人,http://jobs.zhaopin.com/CC410905536J00034589109.htm
Python软件工程师（仪器研发类）,3-5年,本科,17500,卡尤迪生物科技(北京)有限公司,100-499人,http://jobs.zhaopin.com/566441529250728.htm
Python web 开发工程师,3-5年,本科,17500,北京华胜天成科技股份有限公司,1000-9999人,http://jobs.zhaopin.com/000584532256720.htm
Python研发工程师,3-5年,大专,22500,上海诚信互通网络信息科技有限公司,100-499人,http://jobs.zhaopin.com/313785038250821.htm
Python开发工程师,1-3年,本科,11500,北京缔联科技有限公司,20-99人,http://jobs.zhaopin.com/492400937250000.htm
python开发工程师,1-3年,大专,12500,大连信雅达软件有限公司北京办事处,500-999人,http://jobs.zhaopin.com/366553888250122.htm
后端工程师（Python）,3-5年,本科,17500,北京美洽网络科技有限公司,100-499人,http://jobs.zhaopin.com/317243584250089.htm
算法工程师（Java/Scala/Python/R方向）,不限,硕士,17500,北京中能博泰科技有限公司,100-499人,http://jobs.zhaopin.com/213935487250412.htm
Python开发工程师,1-3年,本科,22500,北京微步在线科技有限公司,20-99人,http://jobs.zhaopin.com/293254787250004.htm
python爬虫工程师,3-5年,大专,11500,号外网,20-99人,http://jobs.zhaopin.com/392786182250032.htm
python服务端开发工程师,3-5年,本科,25000,混沌时代(北京)教育科技有限公司,100-499人,http://jobs.zhaopin.com/288485887250004.htm
Python开发工程师,1-3年,大专,10000,中科软科技股份有限公司,1000-9999人,http://jobs.zhaopin.com/120160395272629.htm
Python数据工程师,1-3年,本科,18000,易思互动(北京)科技有限公司,100-499人,http://jobs.zhaopin.com/320449689250041.htm
高级Python WEB工程师（SAAS方向）,3-5年,本科,27500,易思互动(北京)科技有限公司,100-499人,http://jobs.zhaopin.com/320449689250048.htm
python开发工程师,不限,大专,7000,北京储瑞隆科技有限公司,100-499人,http://jobs.zhaopin.com/445143328250861.htm
python爬虫工程师,1-3年,本科,15000,北京神州云合数据科技发展有限公司,100-499人,http://jobs.zhaopin.com/421475684250033.htm
Python开发工程师,不限,不限,11250,东方兴业网络教育服务有限责任公司,100-499人,http://jobs.zhaopin.com/120156789250386.htm
Python开发工程师,无经验,大专,6500,北京恒信通诚科技有限公司,20-99人,http://jobs.zhaopin.com/188304626250159.htm
python软件开发工程师,不限,大专,9000,北京储瑞隆科技有限公司,100-499人,http://jobs.zhaopin.com/445143328250879.htm
Python开发工程师,不限,不限,15000,领途教育咨询(北京)有限公司,20-99人,http://jobs.zhaopin.com/412756639250089.htm
中级Python开发工程师,3-5年,不限,17500,北京赛宁网安科技有限公司,20-99人,http://jobs.zhaopin.com/320489439250025.htm
高级python研发工程师,3-5年,本科,20000,北京云途腾科技有限责任公司,100-499人,http://jobs.zhaopin.com/688947920250114.htm
Python研发工程师,1-3年,大专,9000,小安(北京)科技有限公司,20-99人,http://jobs.zhaopin.com/284830235250039.htm
Python开发工程师,不限,不限,25000,北京鼎新同人管理咨询有限公司,500-999人,http://jobs.zhaopin.com/317026313252490.htm
